check,status,value,note
type_i_row_count,pass,305778,
type_ii_row_count,pass,738,
type_i_unique_key,pass,0,
type_ii_unique_key,pass,0,
type_i_service_nonnegative,pass,0.0,
type_i_process_uec_positive,pass,0.04233505177018359,
type_i_core_fields_complete,pass,0,
type_i_process_uec_engineering_range,pass,0.042335-1.625873,
type_i_e_net_formula,pass,8.881784197001252e-16,
type_i_volume_formula,pass,0.0,
type_i_scenario_monotonic,pass,True,
type_ii_no_missing_route,pass,0,
type_ii_core_fields_complete,pass,0,
type_ii_selected_cost_carbon_nonnegative,pass,cost_min=5.680147;carbon_min=0.024748,
type_ii_pond_selection_logic,pass,0,
type_ii_annual_cost_formula,pass,0.0,
type_ii_annual_carbon_formula,pass,0.0,
type_ii_candidate_restriction_present,pass,True,
