scenario_id,scenario_name_cn,scenario_order,process_type_p,facility_count,mean_process_uec_kwh_m3,annual_wastewater_m3_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year
estimated_lower,估算下界,1,high_pond_lagoon,193,0.07502845291234873,214328000.0,15735066.783946525,7080780.052775936,6845.131534706656
estimated_lower,估算下界,1,low_conventional,166,0.17871050880595393,13498795000.0,2283266341.712539,1027469853.7706428,963043.0333598957
estimated_lower,估算下界,1,medium_oxidation_sbr,2127,0.3456304017341901,20547492500.0,6683849808.643636,3007732413.8896365,2861937.2331550336
estimated_base,估算基准,2,high_pond_lagoon,193,0.22508535873704621,214328000.0,47205200.35183957,30683380.228695724,25669.243255149955
estimated_base,估算基准,2,low_conventional,166,0.3127433904104194,13498795000.0,3995716097.9969435,2597215463.6980133,2106656.6354747713
estimated_base,估算基准,2,medium_oxidation_sbr,2127,0.5760506695569834,20547492500.0,11139749681.072727,7240837292.697273,5962369.235739653
estimated_upper,估算上界,3,high_pond_lagoon,193,0.45017071747409243,214328000.0,94410400.70367914,84969360.63331123,61606.183812359886
estimated_upper,估算上界,3,low_conventional,166,0.5361315264178618,13498795000.0,6849799025.137617,6164819122.623856,4333693.65011953
estimated_upper,估算上界,3,medium_oxidation_sbr,2127,0.9216810712911735,20547492500.0,17823599489.716366,16041239540.744728,11447748.932620134
